tree_id,x,y,species,dbh_cm,height_m,crown_diameter_m,status
T0001,612541.82,6642013.66,FASY,20.5,19.61,5.36,live
T0002,612548.55,6642027.51,FASY,25.4,20.64,5.28,live
T0003,612507.84,6642002.6,PIAB,42.0,27.2,6.64,live
T0004,612529.82,6642035.41,BEPE,29.2,16.72,4.66,live
T0005,612501.99,6642039.53,PIAB,26.6,23.52,5.38,live
T0006,612505.28,6642028.31,PIAB,23.2,21.45,5.56,live
T0007,612528.45,6642049.73,PIAB,22.5,20.62,4.82,live
T0008,612500.44,6642026.84,FASY,40.4,25.26,5.9,live
T0009,612509.37,6642025.35,PIAB,25.9,20.98,5.07,live
T0010,612515.02,6642021.0,PIAB,25.4,21.05,5.99,live
T0011,612502.91,6642049.5,PIAB,26.6,21.57,5.84,live
T0012,612536.13,6642041.66,BEPE,20.6,14.33,4.45,live
T0013,612545.0,6642024.87,FASY,39.2,24.62,5.87,live
T0014,612540.75,6642036.45,PIAB,24.8,22.81,5.59,live
T0015,612511.61,6642045.5,PIAB,28.2,22.93,5.88,live
T0016,612537.58,6642002.32,PIAB,17.9,18.65,4.7,live
T0017,612518.34,6642002.11,FASY,18.1,18.17,4.38,live
T0018,612536.16,6642024.77,FASY,33.0,22.26,5.04,live
T0019,612542.95,6642043.32,FASY,17.9,16.36,4.49,live
T0020,612519.32,6642016.92,PIAB,25.2,21.88,5.39,live
T0021,612548.15,6642013.16,PIAB,36.9,23.94,6.36,live
T0022,612534.98,6642038.26,BEPE,20.6,14.95,4.22,live
T0023,612518.19,6642041.87,FASY,35.6,23.63,5.2,live
T0024,612504.83,6642044.22,PIAB,36.8,24.86,6.26,live
T0025,612509.66,6642031.14,FASY,37.3,25.02,6.61,live
T0026,612547.19,6642020.84,FASY,30.0,22.26,5.64,live
T0027,612530.45,6642022.93,PIAB,17.8,19.47,4.53,live
T0028,612513.67,6642004.18,PIAB,19.9,18.95,4.8,live
T0029,612549.0,6642042.7,PIAB,36.7,25.21,5.6,live
T0030,612506.7,6642034.02,PIAB,20.5,19.18,5.3,live
T0031,612508.1,6642046.38,BEPE,47.9,20.79,5.65,live
T0032,612541.33,6642019.37,FASY,24.9,21.11,5.98,live
T0033,612513.34,6642048.71,PIAB,25.4,22.16,5.34,live
T0034,612540.35,6642046.51,FASY,28.7,22.69,5.82,live
T0035,612533.88,6642014.27,PIAB,31.8,24.6,6.04,live
T0036,612508.45,6642011.18,FASY,27.3,21.65,5.78,live
T0037,612503.96,6642021.61,PIAB,41.4,26.36,6.61,live
T0038,612514.13,6642029.41,PIAB,38.6,27.03,6.94,live
T0039,612520.65,6642025.59,PIAB,32.9,25.21,6.7,live
T0040,612509.74,6642036.73,BEPE,31.2,17.44,4.24,live
T0041,612537.3,6642032.4,BEPE,33.6,16.82,5.05,live
T0042,612546.14,6642006.24,PIAB,26.4,21.34,5.72,live
T0043,612502.06,6642017.77,PIAB,26.7,22.99,5.72,live
T0044,612531.47,6642039.4,PIAB,35.2,25.58,6.65,live
T0045,612511.91,6642013.89,PIAB,33.2,25.13,6.65,live
T0046,612548.63,6642046.14,BEPE,40.6,19.65,5.34,live
T0047,612527.27,6642029.66,PIAB,22.4,20.37,4.72,live
T0048,612532.67,6642028.94,FASY,16.8,16.58,4.59,live
T0049,612529.34,6642019.12,PIAB,37.1,26.22,6.05,live
T0050,612545.18,6642046.67,PIAB,29.0,24.2,5.87,live
T0051,612503.09,6642009.47,PIAB,23.8,21.85,5.3,live
T0052,612529.47,6642042.56,BEPE,34.8,18.68,4.59,live
T0053,612504.1,6642031.62,PIAB,33.7,26.12,6.25,live
T0054,612535.57,6642007.53,PIAB,40.9,25.54,5.78,live
T0055,612524.02,6642040.3,PIAB,25.9,21.38,5.93,live
T0056,612549.66,6642034.77,FASY,25.0,20.43,4.87,live
T0057,612519.74,6642030.07,PIAB,38.3,25.63,5.62,live
T0058,612533.6,6642021.68,FASY,27.8,22.46,5.98,live
T0059,612531.54,6642001.64,PIAB,38.4,26.75,5.86,live
T0060,612530.5,6642046.49,FASY,29.8,22.77,5.55,live
T0061,612536.54,6642019.98,PIAB,23.6,20.39,4.94,live
T0062,612525.31,6642018.23,PIAB,24.4,22.28,6.19,live
T0063,612527.26,6642039.06,PIAB,32.7,24.99,6.14,live
T0064,612535.75,6642048.12,FASY,28.8,21.59,4.92,live
T0065,612541.43,6642000.91,BEPE,39.1,17.42,5.11,live
T0066,612517.28,6642047.78,FASY,19.9,19.41,5.31,live
T0067,612524.07,6642025.88,PIAB,28.9,23.92,5.28,live
